,disruption_id,date_issued,start_date,finish_date,status,closure,on_street,from_street,to_street,impact,duration,details,description,activity_type,traffic_district,infrastructure,latitude,longitude
0,32,2022-06-14,2022-06-20,2024-06-20,Current,Stony Plain Rd/149 St Reduced to 1 Lane Each W,Stony Plain Road,139 Street NW,157 Street NW,Travel Delays,2 Years,"Stony Plain Rd, from 139 St - 157 St, and 149 St, from 100 Av - 102 Av, will be reduced to 1 lane in each direction for LRT construction work. Use other routes. Various sidewalk closures will also be required for this and pedestrians will be detoured.",WLRT Construction,Construction,Northeast,Road,53.541294164135,-113.592080656202
1,34,2022-05-20,2022-05-20,2024-05-20,Current,156 St/Meadowlark Rd Reduced to 1 Lane Each Way,156 Street NW,Stony Plain Road,87 Avenue NW,Travel Delays,2 Years,156 St/Meadowlark Rd will be reduced to 1 lane in each directon from Stony Plain Rd to 87 Av in various stages for LRT construction. Use other routes. Sidewalk closures will take place on one side of 156 St at a time.,LRT Construction,Construction,Northwest,Road and Sidewalk,53.519453481099,-113.590332225448
2,33,2022-06-03,2022-04-19,2024-04-19,Current,87 Av Reduced to 1 Lane Each Way,87 Avenue NW,159 Street NW,182 Street NW,Travel Delays,2 Years,87 Av will be reduced to 1 lane in each direction in various phases from 159 St to 189 St. Use other routes.,LRT Construction,Construction,Northwest,Road,53.521606230676,-113.637149749965
4,37,2022-01-17,2021-07-27,2024-12-31,Current,87 Ave West LRT Construction,87 Avenue NW,170 Street NW,175 Street NW,Travel Delays,3 Years,The right lane of WB 87 Ave will remain closed from 170 St - 175 St for the West LRT construction project. There will be various impacts to sidewalks and mall accesses as work progresses. Additional lane closures will follow with separate or revised TDNs.,West LRT Construction,Construction,Northwest,Road and Sidewalk,53.519548030193,-113.615383585594
8,46,2023-01-12,2022-12-29,2024-11-20,Current,Stony Plain Road Closure,Stony Plain Road,129 Street NW,131 Street NW,Total Closure,23 Months,"Stony Plain Road will be closed from 7pm on Thursday, December 29 until November 30, 2024 for the removal and replacement of the bridge over Groat Road. Use other routes.",Bridge Structure Replacement,Construction,Northwest,Road and Sidewalk,53.547972146913,-113.544539885848
9,132,2023-02-15,2023-03-07,2024-05-31,Current,34 Av Lane Reduction,34 Avenue NW,111 Street NW,106 Street NW,Travel Delays,Long Term Project,"Starts Mon, March 7th at 9am. 34 Av, 111 St - 106 St will be reduced to a single lane each direction. The intersections of 111 ST and 106 St will be at full lane capacity.",Drainage Tunnel Shaft,Construction,Southwest,Road,53.467730013729,-113.504139616499
11,175,2023-03-09,2023-03-20,2023-12-31,Current,97 ST Total Closure,97 Street NW,79 Avenue NW,80 Avenue NW,Total Closure,9+ Months,"97 ST, 79-80 AV northbound and southbound closed for drainage shaft installation. Pedestrian detour as per posted signage. Local access will be maintained. Detour using other routes.",Drainage Shaft Installation,Construction,Central,Road,53.5151456966,-113.479762568596
12,274,2023-04-24,2023-05-01,2024-04-30,Current,106 St Lane Closure,106 Street NW,34 Avenue NW,35 Avenue NW,Travel Delays,Long Term Project,"Starts Mon, May 1st at 9am. 106 St NB, 34 Av - 35 Av will be reduced to a single lane. The 34 Av WB to 106 St NB Right turn bay will be closed. The North East corner will be closed to pedestrians with detours and temporary crosswalks installed.",Drainiage Shaft,Construction,Southwest,Road and Sidewalk,53.467730013729,-113.504139616499
13,295,2023-04-27,2023-05-15,2024-05-31,Current,Parking Lane and Sidewalk Closed on NS Summit Dr,Summit Drive,142 Street NW,98 Avenue NW,Travel Delays,1 Year,Summit Dr will be reduced to one lane in each direction. The sidewalk on the North side will be closed form 142 St to approx 30m East.,Drainage Tunnel Shaft,Construction,Northwest,Road and Sidewalk,53.536648072079,-113.559738691084
15,35,2022-05-19,2022-06-15,2024-06-15,REVISED,99 Av Closure,99 Avenue NW,150 Street NW,151 Street NW,Total Closure,2 Years,99 Av will be closed from 150 St - 151 St for the construction of a drainage tunnel shaft. Use other routes.*New end date and duration*,Drainage Shaft Construction,Construction,Northeast,Road and Sidewalk,53.537718750011,-113.579777574135
